Designator,Mid X,Mid Y,Rotation,Layer
A1,147.225,-88.12,0.0,top
C1,173.65,-101.1825,90.0,top
C2,106.0,-88.5,270.0,top
C3,172.45,-101.1825,270.0,top
J1,94.75,-88.23,0.0,top
J3,145.25,-71.96,0.0,top
J4,141.25,-71.96,0.0,top
J5,137.25,-71.96,0.0,top
J6,133.25,-71.96,0.0,top
J7,129.25,-71.96,0.0,top
J8,178.23,-97.94,180.0,top
